Series Id,Year,Period,Value
CUUR0000SA0L1E,1994,M01,154.3
CUUR0000SA0L1E,1994,M02,155
CUUR0000SA0L1E,1994,M03,155.8
CUUR0000SA0L1E,1994,M04,155.9
CUUR0000SA0L1E,1994,M05,156
CUUR0000SA0L1E,1994,M06,156.2
CUUR0000SA0L1E,1994,M07,156.4
CUUR0000SA0L1E,1994,M08,157
CUUR0000SA0L1E,1994,M09,157.5
CUUR0000SA0L1E,1994,M10,158
CUUR0000SA0L1E,1994,M11,158.2
CUUR0000SA0L1E,1994,M12,157.9
CUUS0000SA0L1E,1994,S01,155.5
CUUS0000SA0L1E,1994,S02,157.5
CUUR0000SA0L1E,1995,M01,158.7
CUUR0000SA0L1E,1995,M02,159.6
CUUR0000SA0L1E,1995,M03,160.4
CUUR0000SA0L1E,1995,M04,160.7
CUUR0000SA0L1E,1995,M05,160.8
CUUR0000SA0L1E,1995,M06,160.9
CUUR0000SA0L1E,1995,M07,161.1
CUUR0000SA0L1E,1995,M08,161.6
CUUR0000SA0L1E,1995,M09,162.1
CUUR0000SA0L1E,1995,M10,162.8
CUUR0000SA0L1E,1995,M11,163
CUUR0000SA0L1E,1995,M12,162.7
CUUS0000SA0L1E,1995,S01,160.2
CUUS0000SA0L1E,1995,S02,162.2
CUUR0000SA0L1E,1996,M01,163.4
CUUR0000SA0L1E,1996,M02,164.2
CUUR0000SA0L1E,1996,M03,164.9
CUUR0000SA0L1E,1996,M04,165
CUUR0000SA0L1E,1996,M05,165.1
CUUR0000SA0L1E,1996,M06,165.2
CUUR0000SA0L1E,1996,M07,165.5
CUUR0000SA0L1E,1996,M08,165.8
CUUR0000SA0L1E,1996,M09,166.4
CUUR0000SA0L1E,1996,M10,167
CUUR0000SA0L1E,1996,M11,167.2
CUUR0000SA0L1E,1996,M12,167
CUUS0000SA0L1E,1996,S01,164.6
CUUS0000SA0L1E,1996,S02,166.5
CUUR0000SA0L1E,1997,M01,167.5
CUUR0000SA0L1E,1997,M02,168.3
CUUR0000SA0L1E,1997,M03,169
CUUR0000SA0L1E,1997,M04,169.4
CUUR0000SA0L1E,1997,M05,169.3
CUUR0000SA0L1E,1997,M06,169.2
CUUR0000SA0L1E,1997,M07,169.5
CUUR0000SA0L1E,1997,M08,169.6
CUUR0000SA0L1E,1997,M09,170
CUUR0000SA0L1E,1997,M10,170.8
CUUR0000SA0L1E,1997,M11,170.8
CUUR0000SA0L1E,1997,M12,170.7
CUUS0000SA0L1E,1997,S01,168.8
CUUS0000SA0L1E,1997,S02,170.2
CUUR0000SA0L1E,1998,M01,171.2
CUUR0000SA0L1E,1998,M02,172.1
CUUR0000SA0L1E,1998,M03,172.6
CUUR0000SA0L1E,1998,M04,173
CUUR0000SA0L1E,1998,M05,173.1
CUUR0000SA0L1E,1998,M06,173
CUUR0000SA0L1E,1998,M07,173.3
CUUR0000SA0L1E,1998,M08,173.8
CUUR0000SA0L1E,1998,M09,174.2
CUUR0000SA0L1E,1998,M10,174.7
CUUR0000SA0L1E,1998,M11,174.8
CUUR0000SA0L1E,1998,M12,174.8
CUUS0000SA0L1E,1998,S01,172.5
CUUS0000SA0L1E,1998,S02,174.3
CUUR0000SA0L1E,1999,M01,175.3
CUUR0000SA0L1E,1999,M02,175.7
CUUR0000SA0L1E,1999,M03,176.2
CUUR0000SA0L1E,1999,M04,176.8
CUUR0000SA0L1E,1999,M05,176.6
CUUR0000SA0L1E,1999,M06,176.6
CUUR0000SA0L1E,1999,M07,176.9
CUUR0000SA0L1E,1999,M08,177.1
CUUR0000SA0L1E,1999,M09,177.7
CUUR0000SA0L1E,1999,M10,178.3
CUUR0000SA0L1E,1999,M11,178.4
CUUR0000SA0L1E,1999,M12,178.2
CUUS0000SA0L1E,1999,S01,176.2
CUUS0000SA0L1E,1999,S02,177.8
CUUR0000SA0L1E,2000,M01,178.8
CUUR0000SA0L1E,2000,M02,179.5
CUUR0000SA0L1E,2000,M03,180.5
CUUR0000SA0L1E,2000,M04,180.9
CUUR0000SA0L1E,2000,M05,180.9
CUUR0000SA0L1E,2000,M06,181
CUUR0000SA0L1E,2000,M07,181.3
CUUR0000SA0L1E,2000,M08,181.7
CUUR0000SA0L1E,2000,M09,182.3
CUUR0000SA0L1E,2000,M10,182.8
CUUR0000SA0L1E,2000,M11,183
CUUR0000SA0L1E,2000,M12,182.8
CUUS0000SA0L1E,2000,S01,180.3
CUUS0000SA0L1E,2000,S02,182.3
CUUR0000SA0L1E,2001,M01,183.5
CUUR0000SA0L1E,2001,M02,184.4
CUUR0000SA0L1E,2001,M03,185.3
CUUR0000SA0L1E,2001,M04,185.6
CUUR0000SA0L1E,2001,M05,185.5
CUUR0000SA0L1E,2001,M06,185.9
CUUR0000SA0L1E,2001,M07,186.2
CUUR0000SA0L1E,2001,M08,186.6
CUUR0000SA0L1E,2001,M09,187.1
CUUR0000SA0L1E,2001,M10,187.6
CUUR0000SA0L1E,2001,M11,188.1
CUUR0000SA0L1E,2001,M12,187.8
CUUS0000SA0L1E,2001,S01,185
CUUS0000SA0L1E,2001,S02,187.2
CUUR0000SA0L1E,2002,M01,188.2
CUUR0000SA0L1E,2002,M02,189.2
CUUR0000SA0L1E,2002,M03,189.8
CUUR0000SA0L1E,2002,M04,190.3
CUUR0000SA0L1E,2002,M05,190.2
CUUR0000SA0L1E,2002,M06,190.1
CUUR0000SA0L1E,2002,M07,190.3
CUUR0000SA0L1E,2002,M08,191
CUUR0000SA0L1E,2002,M09,191.3
CUUR0000SA0L1E,2002,M10,191.8
CUUR0000SA0L1E,2002,M11,191.8
CUUR0000SA0L1E,2002,M12,191.4
CUUS0000SA0L1E,2002,S01,189.6
CUUS0000SA0L1E,2002,S02,191.3
CUUR0000SA0L1E,2003,M01,191.8
CUUR0000SA0L1E,2003,M02,192.5
CUUR0000SA0L1E,2003,M03,193
CUUR0000SA0L1E,2003,M04,193.1
CUUR0000SA0L1E,2003,M05,193.2
CUUR0000SA0L1E,2003,M06,193
CUUR0000SA0L1E,2003,M07,193.2
CUUR0000SA0L1E,2003,M08,193.5
CUUR0000SA0L1E,2003,M09,193.6
CUUR0000SA0L1E,2003,M10,194.3
CUUR0000SA0L1E,2003,M11,193.9
CUUR0000SA0L1E,2003,M12,193.6
CUUS0000SA0L1E,2003,S01,192.8
CUUS0000SA0L1E,2003,S02,193.7
CUUR0000SA0L1E,2004,M01,194
CUUR0000SA0L1E,2004,M02,194.9
CUUR0000SA0L1E,2004,M03,196.1
CUUR0000SA0L1E,2004,M04,196.5
CUUR0000SA0L1E,2004,M05,196.5
CUUR0000SA0L1E,2004,M06,196.6
CUUR0000SA0L1E,2004,M07,196.6
CUUR0000SA0L1E,2004,M08,196.8
CUUR0000SA0L1E,2004,M09,197.4
CUUR0000SA0L1E,2004,M10,198.2
CUUR0000SA0L1E,2004,M11,198.1
CUUR0000SA0L1E,2004,M12,197.8
CUUS0000SA0L1E,2004,S01,195.8
CUUS0000SA0L1E,2004,S02,197.5
CUUR0000SA0L1E,2005,M01,198.4
CUUR0000SA0L1E,2005,M02,199.5
CUUR0000SA0L1E,2005,M03,200.7
CUUR0000SA0L1E,2005,M04,200.9
CUUR0000SA0L1E,2005,M05,200.8
CUUR0000SA0L1E,2005,M06,200.6
CUUR0000SA0L1E,2005,M07,200.8
CUUR0000SA0L1E,2005,M08,201
CUUR0000SA0L1E,2005,M09,201.3
CUUR0000SA0L1E,2005,M10,202.3
CUUR0000SA0L1E,2005,M11,202.3
CUUR0000SA0L1E,2005,M12,202.1
CUUS0000SA0L1E,2005,S01,200.2
CUUS0000SA0L1E,2005,S02,201.6
CUUR0000SA0L1E,2006,M01,202.6
CUUR0000SA0L1E,2006,M02,203.6
CUUR0000SA0L1E,2006,M03,204.9
CUUR0000SA0L1E,2006,M04,205.5
CUUR0000SA0L1E,2006,M05,205.7
CUUR0000SA0L1E,2006,M06,205.9
CUUR0000SA0L1E,2006,M07,206.2
CUUR0000SA0L1E,2006,M08,206.7
CUUR0000SA0L1E,2006,M09,207.2
CUUR0000SA0L1E,2006,M10,207.8
CUUR0000SA0L1E,2006,M11,207.6
CUUR0000SA0L1E,2006,M12,207.3
CUUS0000SA0L1E,2006,S01,204.7
CUUS0000SA0L1E,2006,S02,207.1
CUUR0000SA0L1E,2007,M01,208.009
CUUR0000SA0L1E,2007,M02,209.112
CUUR0000SA0L1E,2007,M03,209.923
CUUR0000SA0L1E,2007,M04,210.311
CUUR0000SA0L1E,2007,M05,210.316
CUUR0000SA0L1E,2007,M06,210.474
CUUR0000SA0L1E,2007,M07,210.756
CUUR0000SA0L1E,2007,M08,211.111
CUUR0000SA0L1E,2007,M09,211.628
CUUR0000SA0L1E,2007,M10,212.318
CUUR0000SA0L1E,2007,M11,212.435
CUUR0000SA0L1E,2007,M12,212.356
CUUS0000SA0L1E,2007,S01,209.691
CUUS0000SA0L1E,2007,S02,211.767
CUUR0000SA0L1E,2008,M01,213.138
CUUR0000SA0L1E,2008,M02,213.866
CUUR0000SA0L1E,2008,M03,214.866
CUUR0000SA0L1E,2008,M04,215.059
CUUR0000SA0L1E,2008,M05,215.18
CUUR0000SA0L1E,2008,M06,215.553
CUUR0000SA0L1E,2008,M07,216.045
CUUR0000SA0L1E,2008,M08,216.476
CUUR0000SA0L1E,2008,M09,216.862
CUUR0000SA0L1E,2008,M10,217.023
CUUR0000SA0L1E,2008,M11,216.69
CUUR0000SA0L1E,2008,M12,216.1
CUUS0000SA0L1E,2008,S01,214.61
CUUS0000SA0L1E,2008,S02,216.533
CUUR0000SA0L1E,2009,M01,216.719
CUUR0000SA0L1E,2009,M02,217.685
CUUR0000SA0L1E,2009,M03,218.639
CUUR0000SA0L1E,2009,M04,219.143
CUUR0000SA0L1E,2009,M05,219.128
CUUR0000SA0L1E,2009,M06,219.283
CUUR0000SA0L1E,2009,M07,219.35
CUUR0000SA0L1E,2009,M08,219.596
CUUR0000SA0L1E,2009,M09,220.137
CUUR0000SA0L1E,2009,M10,220.731
CUUR0000SA0L1E,2009,M11,220.384
CUUR0000SA0L1E,2009,M12,220.025
CUUS0000SA0L1E,2009,S01,218.433
CUUS0000SA0L1E,2009,S02,220.037
CUUR0000SA0L1E,2010,M01,220.086
CUUR0000SA0L1E,2010,M02,220.602
CUUR0000SA0L1E,2010,M03,221.059
CUUR0000SA0L1E,2010,M04,221.166
CUUR0000SA0L1E,2010,M05,221.193
CUUR0000SA0L1E,2010,M06,221.265
CUUR0000SA0L1E,2010,M07,221.258
CUUR0000SA0L1E,2010,M08,221.551
CUUR0000SA0L1E,2010,M09,221.907
CUUR0000SA0L1E,2010,M10,222.079
CUUR0000SA0L1E,2010,M11,222.077
CUUR0000SA0L1E,2010,M12,221.795
CUUS0000SA0L1E,2010,S01,220.895
CUUS0000SA0L1E,2010,S02,221.778
CUUR0000SA0L1E,2011,M01,222.177
CUUR0000SA0L1E,2011,M02,223.011
CUUR0000SA0L1E,2011,M03,223.69
CUUR0000SA0L1E,2011,M04,224.118
CUUR0000SA0L1E,2011,M05,224.534
CUUR0000SA0L1E,2011,M06,224.891
CUUR0000SA0L1E,2011,M07,225.164
CUUR0000SA0L1E,2011,M08,225.874
CUUR0000SA0L1E,2011,M09,226.289
CUUR0000SA0L1E,2011,M10,226.743
CUUR0000SA0L1E,2011,M11,226.859
CUUR0000SA0L1E,2011,M12,226.74
CUUS0000SA0L1E,2011,S01,223.737
CUUS0000SA0L1E,2011,S02,226.278
CUUR0000SA0L1E,2012,M01,227.237
CUUR0000SA0L1E,2012,M02,227.865
CUUR0000SA0L1E,2012,M03,228.735
CUUR0000SA0L1E,2012,M04,229.303
CUUR0000SA0L1E,2012,M05,229.602
CUUR0000SA0L1E,2012,M06,229.879
CUUR0000SA0L1E,2012,M07,229.893
CUUR0000SA0L1E,2012,M08,230.196
CUUR0000SA0L1E,2012,M09,230.78
CUUR0000SA0L1E,2012,M10,231.276
CUUR0000SA0L1E,2012,M11,231.263
CUUR0000SA0L1E,2012,M12,231.033
CUUS0000SA0L1E,2012,S01,228.77
CUUS0000SA0L1E,2012,S02,230.74
CUUR0000SA0L1E,2013,M01,231.612
CUUR0000SA0L1E,2013,M02,232.432
CUUR0000SA0L1E,2013,M03,233.052
CUUR0000SA0L1E,2013,M04,233.236
CUUR0000SA0L1E,2013,M05,233.462
CUUR0000SA0L1E,2013,M06,233.64
CUUR0000SA0L1E,2013,M07,233.792
CUUR0000SA0L1E,2013,M08,234.258
CUUR0000SA0L1E,2013,M09,234.782
CUUR0000SA0L1E,2013,M10,235.162
CUUR0000SA0L1E,2013,M11,235.243
CUUR0000SA0L1E,2013,M12,235
CUUS0000SA0L1E,2013,S01,232.906
CUUS0000SA0L1E,2013,S02,234.706
CUUR0000SA0L1E,2014,M01,235.367
CUUR0000SA0L1E,2014,M02,236.075
CUUR0000SA0L1E,2014,M03,236.913
CUUR0000SA0L1E,2014,M04,237.509
CUUR0000SA0L1E,2014,M05,238.029
CUUR0000SA0L1E,2014,M06,238.157
CUUR0000SA0L1E,2014,M07,238.138
CUUR0000SA0L1E,2014,M08,238.296
CUUR0000SA0L1E,2014,M09,238.841
CUUR0000SA0L1E,2014,M10,239.413
CUUR0000SA0L1E,2014,M11,239.248
CUUR0000SA0L1E,2014,M12,238.775
CUUS0000SA0L1E,2014,S01,237.008
CUUS0000SA0L1E,2014,S02,238.785
CUUR0000SA0L1E,2015,M01,239.248
CUUR0000SA0L1E,2015,M02,240.083
CUUR0000SA0L1E,2015,M03,241.067
CUUR0000SA0L1E,2015,M04,241.802
CUUR0000SA0L1E,2015,M05,242.119
CUUR0000SA0L1E,2015,M06,242.354
CUUR0000SA0L1E,2015,M07,242.436
CUUR0000SA0L1E,2015,M08,242.651
CUUR0000SA0L1E,2015,M09,243.359
CUUR0000SA0L1E,2015,M10,243.985
CUUR0000SA0L1E,2015,M11,244.075
CUUR0000SA0L1E,2015,M12,243.779
CUUS0000SA0L1E,2015,S01,241.112
CUUS0000SA0L1E,2015,S02,243.381
CUUR0000SA0L1E,2016,M01,244.528
